Question,Response
นิศาชล ต้วมสูงเนิน เกิดในจังหวัดอะไร,จังหวัด อุดรธานี
นิศาชล ต้วมสูงเนิน เป็นนักแสดงสังกัดช่องอะไร,สถานีโทรทัศน์ไทยทีวีสีช่อง 3
มะม่วงเป็นพืชไม้ยืนต้นอยู่ในสกุลอะไร,สกุล Mangifera
ที่ตั้งของอุทยานแห่งชาติสิรินาถ อยู่ในจังหวัดอะไร,จังหวัดภูเก็ต
ไอเอ็นจีเป็นบริษัทในเนเธอร์แลนด์ที่ให้บริการเกี่ยวกับการเงิน มีสำนักงานใหญ่อยู่ที่เมืองใด,อัมสเตอร์ดัม
ในปี 2008 นิตยสารฟอร์บได้จัดอันดับให้บริษัทไอเอ็นจีมีขนาดใหญ่ติดอันดับที่เท่าไรของโลก,อันดับ 9 ของโลก
ท้าวสุนิมมิตเป็นจอมเทพของสวรรค์ที่มีชื่อว่าอะไร,นิมมานรดี
สวรรค์ที่อยู่ระหว่างชั้นดุสิตและชั้นปรนิมมิตวสวัตดี คือสวรรค์ชั้นอะไร,สวรรค์ชั้นนิมมานรดี
โยโกะ โอะโนะ ทำอาชีพอะไร,นักร้อง
งแพ จิน-ย็อง เกิดเมื่อไร,19 กุมภาพันธ์ ค.ศ. 1993
เพลง สเตย์วิธมี ประกอบละครเรื่อง ก็อบลิน คำสาปรักผู้พิทักษ์วิญญาณ  ใครเป็นผู้ขับร้อง,แพ จิน-ย็อง
สะพานที่สร้างข้ามช่องแคบบอสฟอรัสตะวันออกมีชื่อสะพานว่าอะไร,สะพานรุสสกี
สะพานรุสสกี เปิดใช้อย่างเป็นทางการโดยนายกรัฐมนตรีรัศเซียคนใด,นายกรัฐมนตรีรัสเซียดมีตรี เมดเวเดฟ
นักกีฬาหมากล้อมระดับอาชีพชาวจีนที่อาศัยอยู่ในประเทศญี่ปุ่นคือใคร,หลิน ไห่เฟิง
หลิน ไห่เฟิง มีชื่อเรียกอีกชื่อว่าอะไร,ริน ไคโฮ
นักมวยสากลชาวอาร์เจนตินาคนใดที่เสียชีวิตเมื่อ 22 พฤศจิกายน พ.ศ. 2520,ปัสกวัล นีโกลัส เปเรซ
การชกป้องกันแชมป์ครั้งที่ 11 ของปัสกวัล นีโกลัส เปเรซ แพ้ให้กับใคร,โผน กิ่งเพชร
เมืองกัวยากิลตั้งอยู่ฝั่งใดของแม่น้ำกัวยัส,ฝั่งตะวันตกของแม่น้ำกัวยัส
โลกรอญโญตั้งอยู่ริมฝั่งแม่น้ำเอโบรทางภาคเหนือของประเทศอะไร,ประเทศสเปน
ศูนย์กลางการผลิตไวน์ริโอฆาอยู่ที่จังหวัดอะไรในประเทศสเปน,จังหวัดโลกรอญโญ
บ้านเกิดของ อุเอะโนะ ฮิโกะมะ ช่างถ่ายภาพชาวญี่ปุ่น อยู่ที่ไหน,นะงะซะกิ
ใครคือบุคคลสำคัญในการถ่ายภาพของญี่ปุ่นในศตวรรษที่ 19,อุเอะโนะ
นายกรัฐมนตรีคนที่ 24 ของประเทศไทยคือใคร,พลเอกสุรยุทธ์ จุลานนท์
ภรรยาของนายกรัฐมนตรีคนที่ 24 ของประเทศไทยมีชื่อว่าอะไร,พันเอกหญิง ท่านผู้หญิง จิตรวดี จุลานนท์
ใครเป็นคนนำการปฏิบัติวิปัสสนากรรมฐานแบบยุบหนอ-พองหนอ มาเผยแพร่ในประเทศไทย,สมเด็จพระพุฒาจารย์
ลูกชายคนโตของนายพิมพ์ และนางแจ้ ดวงมาลา คือใคร,คำตา ดวงมาลา
พืชวงศ์แตงมีประมาณกี่ชนิด,960 ชนิด
ธนาคารที่ใหญ่ที่สุดของประเทศญี่ปุ่นคือธนาคารอะไร,ธนาคารโตเกียว-มิตซูบิชิ ยูเอฟเจ
นาคารโตเกียว-มิตซูบิชิ ยูเอฟเจ ถือหุ้นธนาคารกรุงศรีอยุธยาอยู่กี่เปอร์เซ็นต์,ถือหุ้น 76.88%
โทมัส เจคอบ ฮิลฟิเกอร์ เกิดที่เมืองอะไรในรัฐนิวยอร์ก,เมืองเอลมีรา (Elmira)
ส้มแปะ อยู่ในวงศ์พืชชื่อว่าอะไร,Ericaceae
ส้มแปะ มีชื่อเรียกในภาษากะเหรี่ยงเรียกว่าอะไร,เส่อแบละ
ลูกชายพ.ต.ท.ชัยยง ขำเปี่ยม และนางวันนา ขำเปี่ยม มีชื่อว่าอะไร,สหวิช ขำเปี่ยม
การคมนาคมของแคว้นมาร์เค ของประเทศอิตาลีในช่วงคริสต์ศตวรรษที่ 19 เดินทางด้วยวิธีใด,ทางรถไฟ
ยอดดอยที่มีความสูงที่สุดในประเทศไทยคือดอยอะไร,ดอยอินทนนท์
พระอัฐิของพระเจ้าอินทวิชยานนท์ส่วนหนึ่งอยู่ที่ดอยอะไรในจังหวัดเชียงใหม่,ดอยหลวง
ภาษาโตเบโล ที่ทั้งหมดกี่สำเนียง,มี 6 สำเนียง
เฮเลโวรูรู  เป็นหนึ่งในสำเนียงของภาษาอะไร,ภาษาโตเบโล
นักร้องนำวงเดอะสมิธส์ ของประเทศอังกฤษคือใคร,Morrissey
วงเดอะสมิธส์ วงดนตรีออลเทอร์นาทิฟร็อกจากแมนเซสเตอร์ ประเทศอังกฤษ ถูกยุบวงเมื่อปีใด,ปี 1987
ยุทธการที่ไลพ์ซิช เกิดขึ้นเมื่อไร,วันที่ 16 ถึง 19 ตุลาคม ค.ศ. 1813
หลังงจากพ่ายแพ้สงคารม ทำให้นโปเลียนถูกเนรเทศไปอยู่ที่เกาะอะไร,เกาะเอลบา
คำกล่าวทักทายของคนไทยที่ใช้เมื่อแรกพบกัน หรือเพื่อบอกลา คือคำว่าอะไร,สวัสดี
ผู้ที่ริเริ่มใช้คำว่า สวัสดี เป็นคำกล่าวทักทาย คือใคร,พระยาอุปกิตศิลปสาร (นิ่ม กาญจนาชีวะ)
อำเภอหัวไทร จังหวัดนครศรีธรรมราช ด้านทิศเหนือติดต่อกับอำเภออะไร,อำเภอปากพนัง
เครื่องราชอิสริยาภรณ์ชั้นสูงสุดที่ยงยุทธ มัยลาภได้รับมีชื่อว่าอะไร,ชั้นตริตาภรณ์มงกุฎไทย (ต.ม.)
ปืนไรเฟิลซุ่มยิงแบบ bullpup ผลิตออกมาในช่วงต้นยุค 1990 มีชื่อว่าอะไร,AWC G2
นักฟุตบอลของชิลีที่เล่นเกมมากที่สุด 84 เกมในระหว่างปี 1955 ถึง1968 คือใคร,เลโอเนล กีเยร์โม ซานเชซ ลีเนโรส
ลักษณ์นารา เปี้ยทา มีพี่น้องกี่คน,หนึ่งคน
ลักษณ์นารา เปี้ยทา เรียนคณะอะไร,คณะอักษรศาสตร์
เขตบริหารพิเศษฮ่องกง เข้าร่วมแข่งขันกีฬาโอลิมปิกฤดูร้อนครั้งที่เท่าไร,ครั้งที่ 29
เขตบริหารพิเศษฮ่องกง เข้าร่วมแข่งขันกีฬาโอลิมปิกฤดูร้อนครั้งที่ 29 ที่ประเทศอะไร,สาธารณรัฐประชาชนจีน
คิม ยอน-คยอง นักกีฬาวอลเลย์บอลหญิงทีมชาติเกาหลีใต้ เรียนชั้นมัธยมปลายที่โรงเรียนอะไร,โรงเรียนมัธยมปลายสตรีวิทยาการคอมพิวเตอร์ซูว็อน
โรงเรียนมัธยมปลายสตรีวิทยาการคอมพิวเตอร์ซูว็อน ตั้งอยู่ในจังหวัดใดของประเทศเกาหลีใต้,จังหวัดคย็องกี
พระราชชนนีในจักรพรรดิไทโช คือใคร,ซาราวาบิ โนะ สึโบเนะ
นารูโกะ ยานางิวาระเกิดที่ไหน,เกียวโต
ลาภิสรา อินทรสูต เกิดเมื่อไร,วันที่ 1 กันยายน พ.ศ. 2537
อุปกรณ์แปลงร่างที่เรียกว่า อุลตร้าแบดจ์ ของ ฮิงาชิ โคทาโร่ ทำให้แปลงร่างเป็นอะไร,อุลตร้าแมนทาโร่
อุลตร้าแมนทาโร่ในซีรีส์ได้รับเลือกให้เป็นผู้พิทักษ์โลกต่อจากใคร,อุลตร้าแมนเอช
บทละครเรื่องดารัมซาล่า ด้วยรักและศรัทธา ใครเป็นผู้กำกับการแสดง,โชคชัย เจริญสุข
นักแสดงนำละครเรื่องดารัมซาล่า ด้วยรักและศรัทธา ฝ่ายชายคือใคร,ไตรรงค์ ชัยนรานนท์
เครื่องราชอิศริยาภรณ์สหไมตรี เป็นชื่อของตระกูลเครื่องราชอิสริยาภรณ์ซึ่งมอบโดยรัฐบาลของประเทศอะไร,พระราชอาณาจักรกัมพูชา
เครื่องราชอิศริยาภรณ์สหไมตรี มีลำดับเกียรติทั้งหมดกี่ชั้น,5 ชั้น
เมืองที่มีความแห้งแล้งที่สุดในจังหวัดฮกไกโด ประเทศญี่ปุ่น คือเมืองอะไร,อาบาชิริ
เรือนจำอาบาชิริ ของประเทศญี่ปุ่นใช้กักขังนักโทษการเมืองในยุคใด,ยุคเมจิ
ผู้ถวายพระนมและการอภิบาลพระบาทสมเด็จพระจุลจอมเกล้าเจ้าอยู่หัว คือใคร,พระนมปริก
พระนมปริกได้แต่งงานกับใคร,นายเสถียรรักษา (เที่ยง)
ไมตรี ลิมปิชาติ เริ่มเขียนหนังสือตั้งแต่ปีพ.ศ. อะไร,ปีพ.ศ. ๒๕๑๓
ผลงานรวมเล่มเรื่องสั้นเล่มแรก ของนักเขียนไมตรี ลิมปิชาติ มีชื่อว่าอะไร,ทางออกที่ถูกปิด
สะเออะ เป็นอาหารของภาคใดในประเทศไทย,อีสาน
เรวิญานันท์ ทาเกิด หรือ เบญ เป็นจังหวัดอะไร,จังหวัดลำพูน
เรวิญานันท์ ทาเกิด จบการศึกษาจากคณะอะไร,คณะบริหารธุรกิจ
ซานลุยส์โปโตซีเป็นรัฐในประเทศอะไร,ประเทศเม็กซิโก
ทางทิศเหนือของรัฐซานลุยส์โปโตซี ประเทศแม็กซิโก มีอาณาเขตติดต่อกับรัฐใด,รัฐโกอาวีลา
สภาแห่งชาติเพื่อการฟื้นฟูติมอร์ ก่อตั้งโดยใคร,อดีตประธานาธิบดีชานานา กุฌเมา
ในเดือนมีนาคม พ.ศ. 2550 ได้มีการก่อตั้งพรรคการเมืองในประเทศติมอร์-เลสเต มีชื่อพรรคว่าอะไร,สภาแห่งชาติเพื่อการฟื้นฟูติมอร์
นายคำแหง พันธุ์มี นักมวยชาวจังหวัดอะไร,จังหวัดอุดรธานี
สถิติการชกของนายคำแหง พันธุ์มี ชนะน๊อคกี่ครั้ง,น็อค 2
เมืองท่าชายฝั่งที่มีชื่อเสียงทางภาคตะวันตกเฉียงใต้ของรัฐบริติชโคลัมเบีย ประเทศแคนาดา มีชื่อว่าอะไร,แวนคูเวอร์
ศูนย์กลางการถ่ายทำภาพยนตร์เป็นอันดับสามของอเมริกาเหนือคือเมืองอะไร,แวนคูเวอร์
ฟุตบอลประเพณีจุฬาฯ-ธรรมศาสตร์ ครั้งที่ 72 ใครเป็นเจ้าภาพ,จุฬาลงกรณ์มหาวิทยาลัย
สนามที่ใช้แข่งฟุตบอลประเพณีจุฬาฯ-ธรรมศาสตร์ ครั้งที่ 72 คือสนามอะไร,สนามศุภชลาศัย
คุณหญิงนอกทำเนียบ เป็นบทประพันธ์ของใคร,ทมยันตี
สหมงคลฟิล์ม สร้างภาพยนตร์เรื่อง คุณหญิงนอกทำเนียบ ขึ้นในปีใด,ปี พ.ศ. 2517
มหาดเล็กคนสำคัญในประวัติศาสตร์เกาหลีสมัยราชวงศ์โชซอนคือใคร,คิม ชอ-ซ็อน
ขันทีสมัยราชวงศ์โชซอนในเกาหลีคนใดที่มีโอกาสถวายงานพระราชาถึงห้าพระองค์,คิม ชอ-ซ็อน
สินค้ากีฬาจากเยอรมนี ที่มีคำขวัญว่า Impossible is Nothing เป็นสินค้ายี่ห้ออะไร,อาดิดาส
Rudolf สร้างแบรนด์รองเท้าของตัวเองที่มีชื่อว่าอะไร,Puma
ชาวอาหรับมักเรียกแอฟริกาว่าอะไร,อิฟริกียะห์
แอฟริกาเป็นจังหวัดหนึ่งของจักรวรรดิโรมัน มีอีกชื่อเรียกว่าอะไร,อาฟรีกา
จังหวัดฮีลากังซามาร์ ตั้งอยู่ในประเทศอะไร,ประเทศฟิลิปปินส์
ทางตอนเหนือของจังหวัดฮีลากังซามาร์มีพื้นที่ติดต่อกับเกาะอะไร,เกาะซามาร์
พระมารดาของสมเด็จพระราชินีนาถอีซาเบลที่ 2 แห่งสเปนมีพระนามว่าอะไร,สมเด็จพระราชินีมาเรีย คริสตีน่า
หลิว อาจารียา เกิดเมื่อไร,วันอาทิตย์ที่ 23 กุมภาพันธ์ พ.ศ. 2529
แม่ของ หลิว อาจารียา มีชื่อว่าอะไร,นางอัจฉรา พรหมพฤกษ์
ปนัดดา โกมารทัต เล่นบทนางเอกครั้งแรกในเรื่องอะไร,เรื่องหยาดพิรุณ
พระเอกที่เล่นคู่กับปนัดดา โกมารทัต ในเรื่องหยาดพิรุณ คือใคร,คุณ สรพงษ์ ชาตรี
วัดราษฎร์บูรณะ จังหวัดสมุทรปราการ สร้างขึ้นในปีใด,พ.ศ. 2425
พระราชวังวินด์เซอร์ ตั้งอยู่ในมณฑลที่ชื่อว่าอะไร,ราชมณฑลบาร์กเชอร์
สมเด็จพระราชินีพระราชทานพระราชเอกสารสิทธิ ในการใช้ชื่อบาร์กเชอร์อย่างเป็นทางการในปี ค.ศ. ใด,ปี ค.ศ. 1974
"ผู้ประพันธ์ทำนองเพลง ""โสมส่องใจ"" มีชื่อว่าอะไร",ปิ่นศิริ ศิริปิ่น
โรงเรียนดนตรีและลีลา ศิริปิ่น ก่อตั้งขึ้นเมื่อไร,เมื่อปีพ.ศ. 2530
วัดท่าควาย ในจังหวัดอุตรดิตถ์ ปัจจุบันใช้ชื่อว่าอะไร,วัดใหม่เจริญธรรม
วัดใหม่เจริญธรรม ในจังหวัดอุตรดิตถ์ ได้รับพระราชวิสุงคามสีมา เมื่อวันใด,วันที่ 25 ธันวาคม พ.ศ. 2539
สนธิสัญญาแบร์นมีการลงนามในสัญญาเมื่อไร,วันที่ 9 ตุลาคม ค.ศ. 1874
สนธิสัญญาแบร์นมีการลงนามในกรุงแบร์น ซึ่งตั้งอยู่ที่ประเทศอะไร,ประเทศสวิตเซอร์แลนด์
รัฐบาลที่มาจากการรัฐประหารในประเทศชิลี เมื่อปี พ.ศ. 2516 ทำการยึดอำนาจโดยใคร,จอมพล Augusto Pinochet
ผู้นำคอมมิวนิสต์คนแรกของโลกที่ขึ้นสู่อำนาจด้วยการเลือกตั้งคือใคร,ปธน.ซัลวาดอร์ อัลเลนเย้
จุดที่สูงที่สุดของอำเภอหล่มเก่า จังหวัดเพชรบูรณ์คือที่ใด,ภูทับเบิก
ยอดสิงห์แดง จ.ชัยจินดา มีชื่อจริงว่าอะไร,ลิขิต จันทร์ณี
ยอดสิงห์แดง ได้แชมป์ PABA รุ่นแบนตั่มเวท เมื่อวันที่ 22 เมษายน พ.ศ. 2559 การแข่งขันจัดขึ้นที่จังหวัดใดของประเทศไทย,จังหวัดอุบลราชธานี
อำเภอสบเมย จังหวัดแม่ฮ่องสอน ทางด้านทิศเหนือติดกับอำเภออะไร,อำเภอแม่สะเรียง
การปกครองส่วนท้องถิ่นอำเภอสบเมย จังหวัดแม่ฮ่องสอน ประกอบด้วยองค์กรปกครองส่วนท้องถิ่นกี่แห่ง,6 แห่ง
เมืองทองนิเวศน์ เป็นหมู่บ้านจัดสรรในเครือบริษัทอะไร,บริษัทบางกอกแลนด์
เมืองทองธานี จังหวัดนนทบุรี มีชื่อเดิมว่าอะไร,เมืองทอง 3
ผลงานเพลงปี 1997  ที่ขายดีที่สุดของซาราห์ แอนน์ แมคลาชแลน มีชื่อชุดว่าอะไร,ชุด Surfacing
ซาราห์ แอนน์ แมคลาชแลน เป็นนักร้องชาวอะไร,ชาวแคนาดา
พ่อของยัน โยเซฟส์โซน ฟัน โคเยิน จิตรกรชาวดัตช์ ทำอาชีพอะไร,ช่างทำรองเท้า
ซันตากูโลมาดากรามาแน็ต เป็นเมืองในแคว้นใดของประเทศสเปน,แคว้นคาเทโลเนีย
ฮา 7 ดาวเป็นรายการตลกที่ออกอากาศในช่วง ปี พ.ศ. 2539 ถึง พ.ศ. 2541 ผลิตรายการโดยบริษัทอะไร,บริษัท เจเอสแอล จำกัด
เพลงประจำชาติของประเทศอิสราเอลมีชื่อว่าอะไร,ฮาทิควา
จาค็อบ แฮร์รี แมไกวร์ เป็นนักฟุตบอลชาวอังกฤษ เล่นตำแหน่งใดในทีมฟุตบอล,ตำแหน่งกองหลัง
จังหวัดปาดกาแลตั้งอยู่ในแคว้นใดของประเทศฝรั่งเศส,แคว้นโอดฟร็องส์
ปราสาทตาเมือนธม ตั้งอยู่ในจังหวัดสุรินทร์บนเทือกเขาอะไร,เทือกเขาพนมดงรัก
ปราสาทตาเมือนธม ตั้งอยู่ในอำเภอพนมดงรักจังหวัดอะไร,จังหวัดสุรินทร์
ปาเวล เนดเวตได้รับการแต่งตั้งเป็นกัปตันทีมในการแข่งขันฟุตบอลชิงแชมป์แห่งชาติยุโรปในปีใด,2004
บ้านเกิดของซานเตียโก กาลาตราบา บัลส์ อยู่ที่เมืองใดของประเทศสเปน,เมืองเบนีมาเมต
ใครเป็นผู้ประพันธ์เรื่อง พี่น้อง 2 เลือด ซึ่งได้นำมาสร้างเป็นละครโทรทัศน์ทางช่อง 9 โมเดิร์นไนน์,ปาณรวัฐ กิตติกรเจริญ
เพลงชื่อ คำเดียวกัน ซึ่งเป็นเพลงประกอบละครเรื่องพี่น้อง 2 เลือดเมื่อปีพ.ศ.2548 ขับร้องโดยใคร,แดน-บีม
บิดาของนิกิต้า เซเกรเยวิช ครุชชอฟ ซึ่งเป็นเลขาธิการพรรคคอมมิวนิสต์แห่งสหภาพโซเวียตมีชื่อว่าอะไร,เซอร์เกย์ ครุชชอฟ นิโกโนโรวิช
อรศศิพัชร์ มามีเกตุรัตน์ หรือชื่อเล่น ลูกศร ศึกษาระดับปริญญาตรีที่มหาวิทยาลัยอะไร,มหาวิทยาลัยหอการค้าไทย
อรศศิพัชร์ มามีเกตุรัตน์ แสดงบทอะไรในละครเรื่อง หมอผีไซเบอร์,นางตานี
ปลานกกระจอกเป็นวงศ์ของปลากระดูกแข็งวงศ์หนึ่ง มีชื่อทางวิทยาศาสตร์ว่าอะไร,Exocoetidae
ไข่ปลานกกระจอกมีลักษณะเป็นสีส้มเม็ดเล็ก ชาวญี่ปุ่นนิยมนำมาทำเป็นอาหารอะไร,ซูชิหน้าไข่ปลา
ผู้ที่ตั้งวงศ์ปลาตะเพียน หรือ Cyprinidae เมื่อปี ค.ศ. 1823 คือใคร,โยฮัน กุนราด ฟัน ฮัสเซิลต์
เขื่อนปากมูลในจังหวัดอุบลราชธานี ใช้งบประมาณในการก่อสร้างเท่าไร,240 ล้านดอลลาร์สหรัฐ
โมโนไซต์เป็นเม็ดเลือดชนิดใด,เม็ดเลือดขาว
โมโนไซต์ทำหน้าที่กำจัดสิ่งแปลกปลอมในร่างกายด้วยวิธีที่เรียกว่าอะไร,วิธีฟาโกไซโตซิส
เฮนรี ริช เอิร์ลแห่งฮอลแลนด์ที่ 1 ถูกประหารชีวิตในข้อหาอะไร,ข้อหากบฏต่อแผ่นดิน
ละครเวทีของถกลเกียรติ วีรวรรณ ที่จุฑาภัทร เหล่าธรรมทัศน์ได้เล่นมีชื่อเรื่องว่าอะไร,บัลลังก์เมฆ
ละครโทรทัศน์เรื่อง Kiss Me รักล้นใจนายแกล้งจุ๊บ ที่ออกอากาศตอนแรกวันที่ 26 มกราคม พ.ศ. 2558 นักแสดงนำชายมีชื่อว่าอะไร,พิรัชต์ นิธิไพศาลกุล
ผู้กำกับการแสดงเรื่อง Kiss Me รักล้นใจนายแกล้งจุ๊บ ที่ออกอากาศตอนแรกวันที่ 26 มกราคม พ.ศ. 2558 คือใคร,สรัสวดี วงศ์สมเพ็ชร
ปลาวัวดำเป็นปลาทะเลชนิดหนึ่งที่มีชื่อทางวิทยาศาสตร์ว่าอะไร,Odonus niger
ปลาวัวดำ มีชื่อวิทยาศาสตร์ว่า Odonus niger จัดเป็นเพียงปลาชนิดเดียวที่อยู่ในสกุลใด,สกุล Odonus
พระมารดาของพระเจ้าบรมวงศ์เธอพระองค์เจ้าอภัยทัต กรมหลวงเทพพลภักดิ์ มีพระนามว่าอะไร,เจ้าจอมมารดาน้อยแก้ว
พระบิดาของเจ้าจอมมารดาน้อยแก้ว ในรัชกาลที่ 1 มีพระนามว่าอะไร,พระยาจักรีเมืองนครศรีธรรมราช
จอห์น เอ. เอกิ้น ผู้ก่อตั้งโรงเรียน BCC หรือโรงเรียนกรุงเทพคริสเตียนวิทยาลัย เกิดที่รัฐใดในประเทศสหรัฐอเมริกา,รัฐเพนซิลวาเนีย
นักแสดงนำหญิงที่ได้รับรางวัลออสการ์จากภาพยนตร์เรื่อง Shakespeare in Love คือใคร,กวินเน็ธ เคต พัลโทรว์
ภาพยนตร์ไทยเรื่องเสือเฒ่า ที่ออกฉายในปี พ.ศ. 2503 ใครเป็นผู้กำกับการแสดง,ครูเนรมิต
ภาพยนตร์ไทยเรื่องเสือเฒ่าที่ออกฉายในปี พ.ศ. 2503 นักแสดงที่สวมบทบาทเป็นเสือเฒ่าคือใคร,พันคำ
หอคอยบรรหาร-แจ่มใส ตั้งอยู่ในจังหวัดอะไรของประเทศไทย,สุพรรณบุรี
พระมารดาของพระเจ้าวรวงศ์เธอ พระองค์เจ้าศิริรัตนบุษบง มีพระนามว่าอะไร,หม่อมเจ้าประสงค์สม บริพัตร
พระเจ้าวรวงศ์เธอพระองค์เจ้าศิริรัตนบุษบง สมรสกับใคร,หม่อมเจ้าอาชวดิศ ดิศกุล
