Question,Response
นิศาชล ต้วมสูงเนิน เป็นนักแสดงสังกัดช่องอะไร,สถานีโทรทัศน์ไทยทีวีสีช่อง 3
มะม่วงเป็นพืชไม้ยืนต้นอยู่ในสกุลอะไร,สกุล Mangifera
ที่ตั้งของอุทยานแห่งชาติสิรินาถ อยู่ในจังหวัดอะไร,จังหวัดภูเก็ต
ไอเอ็นจีเป็นบริษัทในเนเธอร์แลนด์ที่ให้บริการเกี่ยวกับการเงิน มีสำนักงานใหญ่อยู่ที่เมืองใด,อัมสเตอร์ดัม
ในปี 2008 นิตยสารฟอร์บได้จัดอันดับให้บริษัทไอเอ็นจีมีขนาดใหญ่ติดอันดับที่เท่าไรของโลก,อันดับ 9 ของโลก
ท้าวสุนิมมิตเป็นจอมเทพของสวรรค์ที่มีชื่อว่าอะไร,นิมมานรดี
สวรรค์ที่อยู่ระหว่างชั้นดุสิตและชั้นปรนิมมิตวสวัตดี คือสวรรค์ชั้นอะไร,สวรรค์ชั้นนิมมานรดี
โยโกะ โอะโนะ ทำอาชีพอะไร,นักร้อง
งแพ จิน-ย็อง เกิดเมื่อไร,19 กุมภาพันธ์ ค.ศ. 1993
เพลง สเตย์วิธมี ประกอบละครเรื่อง ก็อบลิน คำสาปรักผู้พิทักษ์วิญญาณ  ใครเป็นผู้ขับร้อง,แพ จิน-ย็อง
สะพานที่สร้างข้ามช่องแคบบอสฟอรัสตะวันออกมีชื่อสะพานว่าอะไร,สะพานรุสสกี
สะพานรุสสกี เปิดใช้อย่างเป็นทางการโดยนายกรัฐมนตรีรัศเซียคนใด,นายกรัฐมนตรีรัสเซียดมีตรี เมดเวเดฟ
นักกีฬาหมากล้อมระดับอาชีพชาวจีนที่อาศัยอยู่ในประเทศญี่ปุ่นคือใคร,หลิน ไห่เฟิง
หลิน ไห่เฟิง มีชื่อเรียกอีกชื่อว่าอะไร,ริน ไคโฮ
นักมวยสากลชาวอาร์เจนตินาคนใดที่เสียชีวิตเมื่อ 22 พฤศจิกายน พ.ศ. 2520,ปัสกวัล นีโกลัส เปเรซ
การชกป้องกันแชมป์ครั้งที่ 11 ของปัสกวัล นีโกลัส เปเรซ แพ้ให้กับใคร,โผน กิ่งเพชร
เมืองกัวยากิลตั้งอยู่ฝั่งใดของแม่น้ำกัวยัส,ฝั่งตะวันตกของแม่น้ำกัวยัส
โลกรอญโญตั้งอยู่ริมฝั่งแม่น้ำเอโบรทางภาคเหนือของประเทศอะไร,ประเทศสเปน
ศูนย์กลางการผลิตไวน์ริโอฆาอยู่ที่จังหวัดอะไรในประเทศสเปน,จังหวัดโลกรอญโญ
บ้านเกิดของ อุเอะโนะ ฮิโกะมะ ช่างถ่ายภาพชาวญี่ปุ่น อยู่ที่ไหน,นะงะซะกิ
ใครคือบุคคลสำคัญในการถ่ายภาพของญี่ปุ่นในศตวรรษที่ 19,อุเอะโนะ
นายกรัฐมนตรีคนที่ 24 ของประเทศไทยคือใคร,พลเอกสุรยุทธ์ จุลานนท์
ภรรยาของนายกรัฐมนตรีคนที่ 24 ของประเทศไทยมีชื่อว่าอะไร,พันเอกหญิง ท่านผู้หญิง จิตรวดี จุลานนท์
ใครเป็นคนนำการปฏิบัติวิปัสสนากรรมฐานแบบยุบหนอ-พองหนอ มาเผยแพร่ในประเทศไทย,สมเด็จพระพุฒาจารย์
ลูกชายคนโตของนายพิมพ์ และนางแจ้ ดวงมาลา คือใคร,คำตา ดวงมาลา
พืชวงศ์แตงมีประมาณกี่ชนิด,960 ชนิด
ธนาคารที่ใหญ่ที่สุดของประเทศญี่ปุ่นคือธนาคารอะไร,ธนาคารโตเกียว-มิตซูบิชิ ยูเอฟเจ
นาคารโตเกียว-มิตซูบิชิ ยูเอฟเจ ถือหุ้นธนาคารกรุงศรีอยุธยาอยู่กี่เปอร์เซ็นต์,ถือหุ้น 76.88%
โทมัส เจคอบ ฮิลฟิเกอร์ เกิดที่เมืองอะไรในรัฐนิวยอร์ก,เมืองเอลมีรา (Elmira)
ส้มแปะ อยู่ในวงศ์พืชชื่อว่าอะไร,Ericaceae
ส้มแปะ มีชื่อเรียกในภาษากะเหรี่ยงเรียกว่าอะไร,เส่อแบละ
ลูกชายพ.ต.ท.ชัยยง ขำเปี่ยม และนางวันนา ขำเปี่ยม มีชื่อว่าอะไร,สหวิช ขำเปี่ยม
การคมนาคมของแคว้นมาร์เค ของประเทศอิตาลีในช่วงคริสต์ศตวรรษที่ 19 เดินทางด้วยวิธีใด,ทางรถไฟ
ยอดดอยที่มีความสูงที่สุดในประเทศไทยคือดอยอะไร,ดอยอินทนนท์
พระอัฐิของพระเจ้าอินทวิชยานนท์ส่วนหนึ่งอยู่ที่ดอยอะไรในจังหวัดเชียงใหม่,ดอยหลวง
ภาษาโตเบโล ที่ทั้งหมดกี่สำเนียง,มี 6 สำเนียง
เฮเลโวรูรู  เป็นหนึ่งในสำเนียงของภาษาอะไร,ภาษาโตเบโล
นักร้องนำวงเดอะสมิธส์ ของประเทศอังกฤษคือใคร,Morrissey
วงเดอะสมิธส์ วงดนตรีออลเทอร์นาทิฟร็อกจากแมนเซสเตอร์ ประเทศอังกฤษ ถูกยุบวงเมื่อปีใด,ปี 1987
ยุทธการที่ไลพ์ซิช เกิดขึ้นเมื่อไร,วันที่ 16 ถึง 19 ตุลาคม ค.ศ. 1813
หลังงจากพ่ายแพ้สงคารม ทำให้นโปเลียนถูกเนรเทศไปอยู่ที่เกาะอะไร,เกาะเอลบา
คำกล่าวทักทายของคนไทยที่ใช้เมื่อแรกพบกัน หรือเพื่อบอกลา คือคำว่าอะไร,สวัสดี
ผู้ที่ริเริ่มใช้คำว่า สวัสดี เป็นคำกล่าวทักทาย คือใคร,พระยาอุปกิตศิลปสาร (นิ่ม กาญจนาชีวะ)
อำเภอหัวไทร จังหวัดนครศรีธรรมราช ด้านทิศเหนือติดต่อกับอำเภออะไร,อำเภอปากพนัง
เครื่องราชอิสริยาภรณ์ชั้นสูงสุดที่ยงยุทธ มัยลาภได้รับมีชื่อว่าอะไร,ชั้นตริตาภรณ์มงกุฎไทย (ต.ม.)
ปืนไรเฟิลซุ่มยิงแบบ bullpup ผลิตออกมาในช่วงต้นยุค 1990 มีชื่อว่าอะไร,AWC G2
นักฟุตบอลของชิลีที่เล่นเกมมากที่สุด 84 เกมในระหว่างปี 1955 ถึง1968 คือใคร,เลโอเนล กีเยร์โม ซานเชซ ลีเนโรส
ลักษณ์นารา เปี้ยทา มีพี่น้องกี่คน,หนึ่งคน
ลักษณ์นารา เปี้ยทา เรียนคณะอะไร,คณะอักษรศาสตร์
เขตบริหารพิเศษฮ่องกง เข้าร่วมแข่งขันกีฬาโอลิมปิกฤดูร้อนครั้งที่เท่าไร,ครั้งที่ 29
เขตบริหารพิเศษฮ่องกง เข้าร่วมแข่งขันกีฬาโอลิมปิกฤดูร้อนครั้งที่ 29 ที่ประเทศอะไร,สาธารณรัฐประชาชนจีน
คิม ยอน-คยอง นักกีฬาวอลเลย์บอลหญิงทีมชาติเกาหลีใต้ เรียนชั้นมัธยมปลายที่โรงเรียนอะไร,โรงเรียนมัธยมปลายสตรีวิทยาการคอมพิวเตอร์ซู
โรงเรียนมัธยมปลายสตรีวิทยาการคอมพิวเตอร์ซูว็อน ตั้งอยู่ในจังหวัดใดของประเทศเกาหลีใต้,จังหวัดคย็องกี
พระราชชนนีในจักรพรรดิไทโช คือใคร,ซาราวาบิ โนะ สึโบเนะ
นารูโกะ ยานางิวาระเกิดที่ไหน,เกียวโต
ลาภิสรา อินทรสูต เกิดเมื่อไร,วันที่ 1 กันยายน พ.ศ. 2537
อุปกรณ์แปลงร่างที่เรียกว่า อุลตร้าแบดจ์ ของ ฮิงาชิ โคทาโร่ ทำให้แปลงร่างเป็นอะไร,อุลตร้าแมนทาโร่
อุลตร้าแมนทาโร่ในซีรีส์ได้รับเลือกให้เป็นผู้พิทักษ์โลกต่อจากใคร,อุลตร้าแมนเอช
บทละครเรื่องดารัมซาล่า ด้วยรักและศรัทธา ใครเป็นผู้กำกับการแสดง,โชคชัย เจริญสุข
นักแสดงนำละครเรื่องดารัมซาล่า ด้วยรักและศรัทธา ฝ่ายชายคือใคร,ไตรรงค์ ชัยนรานนท์
เครื่องราชอิศริยาภรณ์สหไมตรี เป็นชื่อของตระกูลเครื่องราชอิสริยาภรณ์ซึ่งมอบโดยรัฐบาลของประเทศอะไร,พระราชอาณาจักรกัมพูชา
