context,question,answer
ไซเบอร์ซันเดย์ 2008 จัดแข่งขันในวันที่ 26 ตุลาคม พ.ศ. 2551 จัดที่ประเทศอะไร   สหรัฐอเมริกา,ไซเบอร์ซันเดย์ 2008 จัดแข่งขันในวันที่ 26 ตุลาคม พ.ศ. 2551 จัดที่ประเทศอะไร,สหรัฐอเมริกา
บัดดี้ นอกซ์ เป็นนักร้องชาวอะไร   ชาวอเมริกัน,บัดดี้ นอกซ์ เป็นนักร้องชาวอะไร,ชาวอเมริกัน
"บัดดี้ นอกซ์ มีผลงานเพลงที่เป็นที่รู้จักในช่วงปี ค.ศ. 1957 ชื่อเพลงว่าอะไร   เพลง ""Party Doll""",บัดดี้ นอกซ์ มีผลงานเพลงที่เป็นที่รู้จักในช่วงปี ค.ศ. 1957 ชื่อเพลงว่าอะไร,"เพลง ""Party Doll"""
สภาเศรษฐกิจโลก หรือ WEF ก่อตั้งเมื่อปี พ.ศ. ใด   ปี พ.ศ. 2514,สภาเศรษฐกิจโลก หรือ WEF ก่อตั้งเมื่อปี พ.ศ. ใด,ปี พ.ศ. 2514
ใครเป็นผู้ตั้งสภาเศรษฐกิจโลกขึ้นในปี พ.ศ. 2514 โดยทุกปีจะมีการประชุมที่ประเทศสวิตเซอร์แลนด์   คลาอัส มาร์ติน สเควป(Klaus Martin Schwab),ใครเป็นผู้ตั้งสภาเศรษฐกิจโลกขึ้นในปี พ.ศ. 2514 โดยทุกปีจะมีการประชุมที่ประเทศสวิตเซอร์แลนด์,คลาอัส มาร์ติน สเควป(Klaus Martin Schwab)
ท่าอากาศยานสุโขทัย เปิดทำการครั้งแรกเมื่อไร   วันที่ 12 เมษายน พ.ศ. 2539,ท่าอากาศยานสุโขทัย เปิดทำการครั้งแรกเมื่อไร,วันที่ 12 เมษายน พ.ศ. 2539
สแกนดาร์ เคนส์ เป็นนักแสดงประเทศอะไร   ประเทศอังกฤษ,สแกนดาร์ เคนส์ เป็นนักแสดงประเทศอะไร,ประเทศอังกฤษ
ลีโอสเตเดียมเป็นสนามฟุตบอลเหย้าของสโมสรฟุตบอลบางกอกกล๊าสตั้งอยู่ที่จังหวัดอะไร   จังหวัดปทุมธานี,ลีโอสเตเดียมเป็นสนามฟุตบอลเหย้าของสโมสรฟุตบอลบางกอกกล๊าสตั้งอยู่ที่จังหวัดอะไร,จังหวัดปทุมธานี
การแข่งขันฟุตบอลชิงแชมป์แห่งชาติยุโรปครั้งที่ 6 จัดขึ้นที่ประเทศอะไร   ประเทศอิตาลี,การแข่งขันฟุตบอลชิงแชมป์แห่งชาติยุโรปครั้งที่ 6 จัดขึ้นที่ประเทศอะไร,ประเทศอิตาลี
การแข่งขันฟุตบอลชิงแชมป์แห่งชาติยุโรป 1980 จัดการแข่งขันขึ้นเมื่อไร   วันที่ 11-22 มิถุนายน ค.ศ. 1980,การแข่งขันฟุตบอลชิงแชมป์แห่งชาติยุโรป 1980 จัดการแข่งขันขึ้นเมื่อไร,วันที่ 11-22 มิถุนายน ค.ศ. 1980
ตลอดกาล เป็นอัลบั้มเพลงไทยชุดที่ 5 ของวงอะไร   วงคีรีบูน,ตลอดกาล เป็นอัลบั้มเพลงไทยชุดที่ 5 ของวงอะไร,วงคีรีบูน
โปรดิวเซอร์ของอัลบั้มตลอดกาล ของวงคีรีบูนคือใคร   คุณปราจีน ทรงเผ่า,โปรดิวเซอร์ของอัลบั้มตลอดกาล ของวงคีรีบูนคือใคร,คุณปราจีน ทรงเผ่า
เท็กแบ็คเดอะไนท์เป็นเพลงที่บันทึกเสียงโดยนักร้องชาวอเมริกันชื่อว่าอะไร   จัสติน ทิมเบอร์เลก,เท็กแบ็คเดอะไนท์เป็นเพลงที่บันทึกเสียงโดยนักร้องชาวอเมริกันชื่อว่าอะไร,จัสติน ทิมเบอร์เลก
เท็กแบ็คเดอะไนท์ เพลงของ จัสติน ทิมเบอร์เลก ให้ดาวน์โหลดได้เมื่อไร   วันที่ 12 กรกฎาคม ค.ศ. 2013,เท็กแบ็คเดอะไนท์ เพลงของ จัสติน ทิมเบอร์เลก ให้ดาวน์โหลดได้เมื่อไร,วันที่ 12 กรกฎาคม ค.ศ. 2013
อัณณา หชาเร ได้รับเหรียญอิสริยาภรณ์จากรัฐบาลประเทศอะไร   รัฐบาลอินเดีย,อัณณา หชาเร ได้รับเหรียญอิสริยาภรณ์จากรัฐบาลประเทศอะไร,รัฐบาลอินเดีย
ทีมวอลเลย์บอลชายที่ได้เข้าแข่งในฐานะแชมป์โลกปี 2018 คือประเทศอะไร   โปแลน,ทีมวอลเลย์บอลชายที่ได้เข้าแข่งในฐานะแชมป์โลกปี 2018 คือประเทศอะไร,โปแลน
นายกรัฐมนตรีหญิงคนแรกของอิสราเอลคือใคร   โกลดา เมอีร์,นายกรัฐมนตรีหญิงคนแรกของอิสราเอลคือใคร,โกลดา เมอีร์
อางี้ หรือ วนิดา ตันติวิทยาพิทักษ์ จบชั้นมัธยมศึกษาจากโรงเรียนอะไร   โรงเรียนสตรีมหาพฤฒาราม,อางี้ หรือ วนิดา ตันติวิทยาพิทักษ์ จบชั้นมัธยมศึกษาจากโรงเรียนอะไร,โรงเรียนสตรีมหาพฤฒาราม
หลังจากหลบเข้าป่า วนิดา ตันติวิทยาพิทักษ์  กลับมาเรียนต่อกี่ปีจึงสำเร็จการศึกษา   3 ปี,หลังจากหลบเข้าป่า วนิดา ตันติวิทยาพิทักษ์  กลับมาเรียนต่อกี่ปีจึงสำเร็จการศึกษา,3 ปี
ปิยะมาศ โมนยะกุลได้แสดงภาพยนตร์เรื่องแรกในปี 2515 กำกับโดยวินิจ ภักดีวิจิตร มีชื่อเรื่องว่าอะไร   ขัง 8,ปิยะมาศ โมนยะกุลได้แสดงภาพยนตร์เรื่องแรกในปี 2515 กำกับโดยวินิจ ภักดีวิจิตร มีชื่อเรื่องว่าอะไร,ขัง 8
ลำไย ไหทองคำ นักร้องลูกทุ่งไทยมีชื่อจริงว่าอะไร   สุพรรณษา เวชกามา,ลำไย ไหทองคำ นักร้องลูกทุ่งไทยมีชื่อจริงว่าอะไร,สุพรรณษา เวชกามา
ลำไย ไหทองคำ นักร้องลูกทุ่งของไทยเกิดที่จังหวัดอะไร   จังหวัดร้อยเอ็ด,ลำไย ไหทองคำ นักร้องลูกทุ่งของไทยเกิดที่จังหวัดอะไร,จังหวัดร้อยเอ็ด
บ้านเกิดของเซอร์ปีเตอร์ โรเบิร์ต แจ็กสัน อยู่ที่เมืองใดในประเทศนิวซีแลนด์   เมือง North Island,บ้านเกิดของเซอร์ปีเตอร์ โรเบิร์ต แจ็กสัน อยู่ที่เมืองใดในประเทศนิวซีแลนด์,เมือง North Island
ภาพยนตร์เรื่อง The Lovely Bones ในปี 2009 กำกับโดยใคร   เซอร์ปีเตอร์ โรเบิร์ต แจ็กสัน,ภาพยนตร์เรื่อง The Lovely Bones ในปี 2009 กำกับโดยใคร,เซอร์ปีเตอร์ โรเบิร์ต แจ็กสัน
ทีมวอลเลย์บอลอาชีพของอินโดนีเซียที่ก่อตั้งในปี ค.ศ. 2002 ชื่อทีมว่าอะไร   ปาเลมบัง บัง ซุมเซล บาเบล,ทีมวอลเลย์บอลอาชีพของอินโดนีเซียที่ก่อตั้งในปี ค.ศ. 2002 ชื่อทีมว่าอะไร,ปาเลมบัง บัง ซุมเซล บาเบล
สนามเหย้าของทีมปาเลมบัง บัง ซุมเซล บาเบล มีชื่อสนามว่าอะไร   ปาเลมบังสปอร์ตฮอลล์,สนามเหย้าของทีมปาเลมบัง บัง ซุมเซล บาเบล มีชื่อสนามว่าอะไร,ปาเลมบังสปอร์ตฮอลล์
ประเทศอะไรเป็นเจ้าภาพจัดการแข่งขันฟุตบอลชิงแชมป์แห่งชาติยุโรป ครั้งที่ 7   ประเทศฝรั่งเศส,ประเทศอะไรเป็นเจ้าภาพจัดการแข่งขันฟุตบอลชิงแชมป์แห่งชาติยุโรป ครั้งที่ 7,ประเทศฝรั่งเศส
ช่วงเวลาใดที่เริ่มจัดการแข่งขันฟุตบอลชิงแชมป์แห่งชาติยุโรป 1984   วันที่ 12-27 มิถุนายน ค.ศ. 1984,ช่วงเวลาใดที่เริ่มจัดการแข่งขันฟุตบอลชิงแชมป์แห่งชาติยุโรป 1984,วันที่ 12-27 มิถุนายน ค.ศ. 1984
นิศาชล ต้วมสูงเนิน เกิดในจังหวัดอะไร   จังหวัด อุดรธานี,นิศาชล ต้วมสูงเนิน เกิดในจังหวัดอะไร,จังหวัด อุดรธานี
นิศาชล ต้วมสูงเนิน เป็นนักแสดงสังกัดช่องอะไร   สถานีโทรทัศน์ไทยทีวีสีช่อง 3,นิศาชล ต้วมสูงเนิน เป็นนักแสดงสังกัดช่องอะไร,สถานีโทรทัศน์ไทยทีวีสีช่อง 3
มะม่วงเป็นพืชไม้ยืนต้นอยู่ในสกุลอะไร   สกุล Mangifera,มะม่วงเป็นพืชไม้ยืนต้นอยู่ในสกุลอะไร,สกุล Mangifera
ที่ตั้งของอุทยานแห่งชาติสิรินาถ อยู่ในจังหวัดอะไร   จังหวัดภูเก็ต,ที่ตั้งของอุทยานแห่งชาติสิรินาถ อยู่ในจังหวัดอะไร,จังหวัดภูเก็ต
ไอเอ็นจีเป็นบริษัทในเนเธอร์แลนด์ที่ให้บริการเกี่ยวกับการเงิน มีสำนักงานใหญ่อยู่ที่เมืองใด   อัมสเตอร์ดัม,ไอเอ็นจีเป็นบริษัทในเนเธอร์แลนด์ที่ให้บริการเกี่ยวกับการเงิน มีสำนักงานใหญ่อยู่ที่เมืองใด,อัมสเตอร์ดัม
ในปี 2008 นิตยสารฟอร์บได้จัดอันดับให้บริษัทไอเอ็นจีมีขนาดใหญ่ติดอันดับที่เท่าไรของโลก   อันดับ 9 ของโลก,ในปี 2008 นิตยสารฟอร์บได้จัดอันดับให้บริษัทไอเอ็นจีมีขนาดใหญ่ติดอันดับที่เท่าไรของโลก,อันดับ 9 ของโลก
ท้าวสุนิมมิตเป็นจอมเทพของสวรรค์ที่มีชื่อว่าอะไร   นิมมานรดี,ท้าวสุนิมมิตเป็นจอมเทพของสวรรค์ที่มีชื่อว่าอะไร,นิมมานรดี
สวรรค์ที่อยู่ระหว่างชั้นดุสิตและชั้นปรนิมมิตวสวัตดี คือสวรรค์ชั้นอะไร   สวรรค์ชั้นนิมมานรดี,สวรรค์ที่อยู่ระหว่างชั้นดุสิตและชั้นปรนิมมิตวสวัตดี คือสวรรค์ชั้นอะไร,สวรรค์ชั้นนิมมานรดี
โยโกะ โอะโนะ ทำอาชีพอะไร   นักร้อง,โยโกะ โอะโนะ ทำอาชีพอะไร,นักร้อง
งแพ จิน-ย็อง เกิดเมื่อไร   19 กุมภาพันธ์ ค.ศ. 1993,งแพ จิน-ย็อง เกิดเมื่อไร,19 กุมภาพันธ์ ค.ศ. 1993
เพลง สเตย์วิธมี ประกอบละครเรื่อง ก็อบลิน คำสาปรักผู้พิทักษ์วิญญาณ  ใครเป็นผู้ขับร้อง   แพ จิน-ย็อง,เพลง สเตย์วิธมี ประกอบละครเรื่อง ก็อบลิน คำสาปรักผู้พิทักษ์วิญญาณ  ใครเป็นผู้ขับร้อง,แพ จิน-ย็อง
สะพานที่สร้างข้ามช่องแคบบอสฟอรัสตะวันออกมีชื่อสะพานว่าอะไร   สะพานรุสสกี,สะพานที่สร้างข้ามช่องแคบบอสฟอรัสตะวันออกมีชื่อสะพานว่าอะไร,สะพานรุสสกี
สะพานรุสสกี เปิดใช้อย่างเป็นทางการโดยนายกรัฐมนตรีรัศเซียคนใด   นายกรัฐมนตรีรัสเซียดมีตรี เมดเวเดฟ,สะพานรุสสกี เปิดใช้อย่างเป็นทางการโดยนายกรัฐมนตรีรัศเซียคนใด,นายกรัฐมนตรีรัสเซียดมีตรี เมดเวเดฟ
นักกีฬาหมากล้อมระดับอาชีพชาวจีนที่อาศัยอยู่ในประเทศญี่ปุ่นคือใคร   หลิน ไห่เฟิง,นักกีฬาหมากล้อมระดับอาชีพชาวจีนที่อาศัยอยู่ในประเทศญี่ปุ่นคือใคร,หลิน ไห่เฟิง
หลิน ไห่เฟิง มีชื่อเรียกอีกชื่อว่าอะไร   ริน ไคโฮ,หลิน ไห่เฟิง มีชื่อเรียกอีกชื่อว่าอะไร,ริน ไคโฮ
นักมวยสากลชาวอาร์เจนตินาคนใดที่เสียชีวิตเมื่อ 22 พฤศจิกายน พ.ศ. 2520   ปัสกวัล นีโกลัส เปเรซ,นักมวยสากลชาวอาร์เจนตินาคนใดที่เสียชีวิตเมื่อ 22 พฤศจิกายน พ.ศ. 2520,ปัสกวัล นีโกลัส เปเรซ
การชกป้องกันแชมป์ครั้งที่ 11 ของปัสกวัล นีโกลัส เปเรซ แพ้ให้กับใคร   โผน กิ่งเพชร,การชกป้องกันแชมป์ครั้งที่ 11 ของปัสกวัล นีโกลัส เปเรซ แพ้ให้กับใคร,โผน กิ่งเพชร
เมืองกัวยากิลตั้งอยู่ฝั่งใดของแม่น้ำกัวยัส   ฝั่งตะวันตกของแม่น้ำกัวยัส,เมืองกัวยากิลตั้งอยู่ฝั่งใดของแม่น้ำกัวยัส,ฝั่งตะวันตกของแม่น้ำกัวยัส
โลกรอญโญตั้งอยู่ริมฝั่งแม่น้ำเอโบรทางภาคเหนือของประเทศอะไร   ประเทศสเปน,โลกรอญโญตั้งอยู่ริมฝั่งแม่น้ำเอโบรทางภาคเหนือของประเทศอะไร,ประเทศสเปน
ศูนย์กลางการผลิตไวน์ริโอฆาอยู่ที่จังหวัดอะไรในประเทศสเปน   จังหวัดโลกรอญโญ,ศูนย์กลางการผลิตไวน์ริโอฆาอยู่ที่จังหวัดอะไรในประเทศสเปน,จังหวัดโลกรอญโญ
บ้านเกิดของ อุเอะโนะ ฮิโกะมะ ช่างถ่ายภาพชาวญี่ปุ่น อยู่ที่ไหน   นะงะซะกิ,บ้านเกิดของ อุเอะโนะ ฮิโกะมะ ช่างถ่ายภาพชาวญี่ปุ่น อยู่ที่ไหน,นะงะซะกิ
ใครคือบุคคลสำคัญในการถ่ายภาพของญี่ปุ่นในศตวรรษที่ 19   อุเอะโนะ,ใครคือบุคคลสำคัญในการถ่ายภาพของญี่ปุ่นในศตวรรษที่ 19,อุเอะโนะ
นายกรัฐมนตรีคนที่ 24 ของประเทศไทยคือใคร   พลเอกสุรยุทธ์ จุลานนท์,นายกรัฐมนตรีคนที่ 24 ของประเทศไทยคือใคร,พลเอกสุรยุทธ์ จุลานนท์
ภรรยาของนายกรัฐมนตรีคนที่ 24 ของประเทศไทยมีชื่อว่าอะไร   พันเอกหญิง ท่านผู้หญิง จิตรวดี จุลานนท์,ภรรยาของนายกรัฐมนตรีคนที่ 24 ของประเทศไทยมีชื่อว่าอะไร,พันเอกหญิง ท่านผู้หญิง จิตรวดี จุลานนท์
ใครเป็นคนนำการปฏิบัติวิปัสสนากรรมฐานแบบยุบหนอ-พองหนอ มาเผยแพร่ในประเทศไทย   สมเด็จพระพุฒาจารย์,ใครเป็นคนนำการปฏิบัติวิปัสสนากรรมฐานแบบยุบหนอ-พองหนอ มาเผยแพร่ในประเทศไทย,สมเด็จพระพุฒาจารย์
ลูกชายคนโตของนายพิมพ์ และนางแจ้ ดวงมาลา คือใคร   คำตา ดวงมาลา,ลูกชายคนโตของนายพิมพ์ และนางแจ้ ดวงมาลา คือใคร,คำตา ดวงมาลา
พืชวงศ์แตงมีประมาณกี่ชนิด   960 ชนิด,พืชวงศ์แตงมีประมาณกี่ชนิด,960 ชนิด
ธนาคารที่ใหญ่ที่สุดของประเทศญี่ปุ่นคือธนาคารอะไร   ธนาคารโตเกียว-มิตซูบิชิ ยูเอฟเจ,ธนาคารที่ใหญ่ที่สุดของประเทศญี่ปุ่นคือธนาคารอะไร,ธนาคารโตเกียว-มิตซูบิชิ ยูเอฟเจ
นาคารโตเกียว-มิตซูบิชิ ยูเอฟเจ ถือหุ้นธนาคารกรุงศรีอยุธยาอยู่กี่เปอร์เซ็นต์   ถือหุ้น 76.88%,นาคารโตเกียว-มิตซูบิชิ ยูเอฟเจ ถือหุ้นธนาคารกรุงศรีอยุธยาอยู่กี่เปอร์เซ็นต์,ถือหุ้น 76.88%
โทมัส เจคอบ ฮิลฟิเกอร์ เกิดที่เมืองอะไรในรัฐนิวยอร์ก   เมืองเอลมีรา (Elmira),โทมัส เจคอบ ฮิลฟิเกอร์ เกิดที่เมืองอะไรในรัฐนิวยอร์ก,เมืองเอลมีรา (Elmira)
ส้มแปะ อยู่ในวงศ์พืชชื่อว่าอะไร   Ericaceae,ส้มแปะ อยู่ในวงศ์พืชชื่อว่าอะไร,Ericaceae
ส้มแปะ มีชื่อเรียกในภาษากะเหรี่ยงเรียกว่าอะไร   เส่อแบละ,ส้มแปะ มีชื่อเรียกในภาษากะเหรี่ยงเรียกว่าอะไร,เส่อแบละ
ลูกชายพ.ต.ท.ชัยยง ขำเปี่ยม และนางวันนา ขำเปี่ยม มีชื่อว่าอะไร   สหวิช ขำเปี่ยม,ลูกชายพ.ต.ท.ชัยยง ขำเปี่ยม และนางวันนา ขำเปี่ยม มีชื่อว่าอะไร,สหวิช ขำเปี่ยม
การคมนาคมของแคว้นมาร์เค ของประเทศอิตาลีในช่วงคริสต์ศตวรรษที่ 19 เดินทางด้วยวิธีใด   ทางรถไฟ,การคมนาคมของแคว้นมาร์เค ของประเทศอิตาลีในช่วงคริสต์ศตวรรษที่ 19 เดินทางด้วยวิธีใด,ทางรถไฟ
ยอดดอยที่มีความสูงที่สุดในประเทศไทยคือดอยอะไร   ดอยอินทนนท์,ยอดดอยที่มีความสูงที่สุดในประเทศไทยคือดอยอะไร,ดอยอินทนนท์
พระอัฐิของพระเจ้าอินทวิชยานนท์ส่วนหนึ่งอยู่ที่ดอยอะไรในจังหวัดเชียงใหม่   ดอยหลวง,พระอัฐิของพระเจ้าอินทวิชยานนท์ส่วนหนึ่งอยู่ที่ดอยอะไรในจังหวัดเชียงใหม่,ดอยหลวง
ภาษาโตเบโล ที่ทั้งหมดกี่สำเนียง   มี 6 สำเนียง,ภาษาโตเบโล ที่ทั้งหมดกี่สำเนียง,มี 6 สำเนียง
เฮเลโวรูรู  เป็นหนึ่งในสำเนียงของภาษาอะไร   ภาษาโตเบโล,เฮเลโวรูรู  เป็นหนึ่งในสำเนียงของภาษาอะไร,ภาษาโตเบโล
นักร้องนำวงเดอะสมิธส์ ของประเทศอังกฤษคือใคร   Morrissey,นักร้องนำวงเดอะสมิธส์ ของประเทศอังกฤษคือใคร,Morrissey
วงเดอะสมิธส์ วงดนตรีออลเทอร์นาทิฟร็อกจากแมนเซสเตอร์ ประเทศอังกฤษ ถูกยุบวงเมื่อปีใด   ปี 1987,วงเดอะสมิธส์ วงดนตรีออลเทอร์นาทิฟร็อกจากแมนเซสเตอร์ ประเทศอังกฤษ ถูกยุบวงเมื่อปีใด,ปี 1987
ยุทธการที่ไลพ์ซิช เกิดขึ้นเมื่อไร   วันที่ 16 ถึง 19 ตุลาคม ค.ศ. 1813,ยุทธการที่ไลพ์ซิช เกิดขึ้นเมื่อไร,วันที่ 16 ถึง 19 ตุลาคม ค.ศ. 1813
หลังงจากพ่ายแพ้สงคารม ทำให้นโปเลียนถูกเนรเทศไปอยู่ที่เกาะอะไร   เกาะเอลบา,หลังงจากพ่ายแพ้สงคารม ทำให้นโปเลียนถูกเนรเทศไปอยู่ที่เกาะอะไร,เกาะเอลบา
คำกล่าวทักทายของคนไทยที่ใช้เมื่อแรกพบกัน หรือเพื่อบอกลา คือคำว่าอะไร   สวัสดี,คำกล่าวทักทายของคนไทยที่ใช้เมื่อแรกพบกัน หรือเพื่อบอกลา คือคำว่าอะไร,สวัสดี
ผู้ที่ริเริ่มใช้คำว่า สวัสดี เป็นคำกล่าวทักทาย คือใคร   พระยาอุปกิตศิลปสาร (นิ่ม กาญจนาชีวะ),ผู้ที่ริเริ่มใช้คำว่า สวัสดี เป็นคำกล่าวทักทาย คือใคร,พระยาอุปกิตศิลปสาร (นิ่ม กาญจนาชีวะ)
อำเภอหัวไทร จังหวัดนครศรีธรรมราช ด้านทิศเหนือติดต่อกับอำเภออะไร   อำเภอปากพนัง,อำเภอหัวไทร จังหวัดนครศรีธรรมราช ด้านทิศเหนือติดต่อกับอำเภออะไร,อำเภอปากพนัง
เครื่องราชอิสริยาภรณ์ชั้นสูงสุดที่ยงยุทธ มัยลาภได้รับมีชื่อว่าอะไร   ชั้นตริตาภรณ์มงกุฎไทย (ต.ม.),เครื่องราชอิสริยาภรณ์ชั้นสูงสุดที่ยงยุทธ มัยลาภได้รับมีชื่อว่าอะไร,ชั้นตริตาภรณ์มงกุฎไทย (ต.ม.)
ปืนไรเฟิลซุ่มยิงแบบ bullpup ผลิตออกมาในช่วงต้นยุค 1990 มีชื่อว่าอะไร   AWC G2,ปืนไรเฟิลซุ่มยิงแบบ bullpup ผลิตออกมาในช่วงต้นยุค 1990 มีชื่อว่าอะไร,AWC G2
นักฟุตบอลของชิลีที่เล่นเกมมากที่สุด 84 เกมในระหว่างปี 1955 ถึง1968 คือใคร   เลโอเนล กีเยร์โม ซานเชซ ลีเนโรส,นักฟุตบอลของชิลีที่เล่นเกมมากที่สุด 84 เกมในระหว่างปี 1955 ถึง1968 คือใคร,เลโอเนล กีเยร์โม ซานเชซ ลีเนโรส
ลักษณ์นารา เปี้ยทา มีพี่น้องกี่คน   หนึ่งคน,ลักษณ์นารา เปี้ยทา มีพี่น้องกี่คน,หนึ่งคน
ลักษณ์นารา เปี้ยทา เรียนคณะอะไร   คณะอักษรศาสตร์,ลักษณ์นารา เปี้ยทา เรียนคณะอะไร,คณะอักษรศาสตร์
เขตบริหารพิเศษฮ่องกง เข้าร่วมแข่งขันกีฬาโอลิมปิกฤดูร้อนครั้งที่เท่าไร   ครั้งที่ 29,เขตบริหารพิเศษฮ่องกง เข้าร่วมแข่งขันกีฬาโอลิมปิกฤดูร้อนครั้งที่เท่าไร,ครั้งที่ 29
เขตบริหารพิเศษฮ่องกง เข้าร่วมแข่งขันกีฬาโอลิมปิกฤดูร้อนครั้งที่ 29 ที่ประเทศอะไร   สาธารณรัฐประชาชนจีน,เขตบริหารพิเศษฮ่องกง เข้าร่วมแข่งขันกีฬาโอลิมปิกฤดูร้อนครั้งที่ 29 ที่ประเทศอะไร,สาธารณรัฐประชาชนจีน
คิม ยอน-คยอง นักกีฬาวอลเลย์บอลหญิงทีมชาติเกาหลีใต้ เรียนชั้นมัธยมปลายที่โรงเรียนอะไร   โรงเรียนมัธยมปลายสตรีวิทยาการคอมพิวเตอร์ซูว็อน,คิม ยอน-คยอง นักกีฬาวอลเลย์บอลหญิงทีมชาติเกาหลีใต้ เรียนชั้นมัธยมปลายที่โรงเรียนอะไร,โรงเรียนมัธยมปลายสตรีวิทยาการคอมพิวเตอร์ซูว็อน
โรงเรียนมัธยมปลายสตรีวิทยาการคอมพิวเตอร์ซูว็อน ตั้งอยู่ในจังหวัดใดของประเทศเกาหลีใต้   จังหวัดคย็องกี,โรงเรียนมัธยมปลายสตรีวิทยาการคอมพิวเตอร์ซูว็อน ตั้งอยู่ในจังหวัดใดของประเทศเกาหลีใต้,จังหวัดคย็องกี
พระราชชนนีในจักรพรรดิไทโช คือใคร   ซาราวาบิ โนะ สึโบเนะ,พระราชชนนีในจักรพรรดิไทโช คือใคร,ซาราวาบิ โนะ สึโบเนะ
นารูโกะ ยานางิวาระเกิดที่ไหน   เกียวโต,นารูโกะ ยานางิวาระเกิดที่ไหน,เกียวโต
ลาภิสรา อินทรสูต เกิดเมื่อไร   วันที่ 1 กันยายน พ.ศ. 2537,ลาภิสรา อินทรสูต เกิดเมื่อไร,วันที่ 1 กันยายน พ.ศ. 2537
อุปกรณ์แปลงร่างที่เรียกว่า อุลตร้าแบดจ์ ของ ฮิงาชิ โคทาโร่ ทำให้แปลงร่างเป็นอะไร   อุลตร้าแมนทาโร่,อุปกรณ์แปลงร่างที่เรียกว่า อุลตร้าแบดจ์ ของ ฮิงาชิ โคทาโร่ ทำให้แปลงร่างเป็นอะไร,อุลตร้าแมนทาโร่
