context,question,answer
ไซเบอร์ซันเดย์ 2008 จัดแข่งขันในวันที่ 26 ตุลาคม พ.ศ. 2551 จัดที่ประเทศอะไร   สหรัฐอเมริกา,ไซเบอร์ซันเดย์ 2008 จัดแข่งขันในวันที่ 26 ตุลาคม พ.ศ. 2551 จัดที่ประเทศอะไร,สหรัฐอเมริกา
บัดดี้ นอกซ์ เป็นนักร้องชาวอะไร   ชาวอเมริกัน,บัดดี้ นอกซ์ เป็นนักร้องชาวอะไร,ชาวอเมริกัน
"บัดดี้ นอกซ์ มีผลงานเพลงที่เป็นที่รู้จักในช่วงปี ค.ศ. 1957 ชื่อเพลงว่าอะไร   เพลง ""Party Doll""",บัดดี้ นอกซ์ มีผลงานเพลงที่เป็นที่รู้จักในช่วงปี ค.ศ. 1957 ชื่อเพลงว่าอะไร,"เพลง ""Party Doll"""
สภาเศรษฐกิจโลก หรือ WEF ก่อตั้งเมื่อปี พ.ศ. ใด   ปี พ.ศ. 2514,สภาเศรษฐกิจโลก หรือ WEF ก่อตั้งเมื่อปี พ.ศ. ใด,ปี พ.ศ. 2514
ใครเป็นผู้ตั้งสภาเศรษฐกิจโลกขึ้นในปี พ.ศ. 2514 โดยทุกปีจะมีการประชุมที่ประเทศสวิตเซอร์แลนด์   คลาอัส มาร์ติน สเควป(Klaus Martin Schwab),ใครเป็นผู้ตั้งสภาเศรษฐกิจโลกขึ้นในปี พ.ศ. 2514 โดยทุกปีจะมีการประชุมที่ประเทศสวิตเซอร์แลนด์,คลาอัส มาร์ติน สเควป(Klaus Martin Schwab)
ท่าอากาศยานสุโขทัย เปิดทำการครั้งแรกเมื่อไร   วันที่ 12 เมษายน พ.ศ. 2539,ท่าอากาศยานสุโขทัย เปิดทำการครั้งแรกเมื่อไร,วันที่ 12 เมษายน พ.ศ. 2539
สแกนดาร์ เคนส์ เป็นนักแสดงประเทศอะไร   ประเทศอังกฤษ,สแกนดาร์ เคนส์ เป็นนักแสดงประเทศอะไร,ประเทศอังกฤษ
ลีโอสเตเดียมเป็นสนามฟุตบอลเหย้าของสโมสรฟุตบอลบางกอกกล๊าสตั้งอยู่ที่จังหวัดอะไร   จังหวัดปทุมธานี,ลีโอสเตเดียมเป็นสนามฟุตบอลเหย้าของสโมสรฟุตบอลบางกอกกล๊าสตั้งอยู่ที่จังหวัดอะไร,จังหวัดปทุมธานี
การแข่งขันฟุตบอลชิงแชมป์แห่งชาติยุโรปครั้งที่ 6 จัดขึ้นที่ประเทศอะไร   ประเทศอิตาลี,การแข่งขันฟุตบอลชิงแชมป์แห่งชาติยุโรปครั้งที่ 6 จัดขึ้นที่ประเทศอะไร,ประเทศอิตาลี
การแข่งขันฟุตบอลชิงแชมป์แห่งชาติยุโรป 1980 จัดการแข่งขันขึ้นเมื่อไร   วันที่ 11-22 มิถุนายน ค.ศ. 1980,การแข่งขันฟุตบอลชิงแชมป์แห่งชาติยุโรป 1980 จัดการแข่งขันขึ้นเมื่อไร,วันที่ 11-22 มิถุนายน ค.ศ. 1980
ตลอดกาล เป็นอัลบั้มเพลงไทยชุดที่ 5 ของวงอะไร   วงคีรีบูน,ตลอดกาล เป็นอัลบั้มเพลงไทยชุดที่ 5 ของวงอะไร,วงคีรีบูน
โปรดิวเซอร์ของอัลบั้มตลอดกาล ของวงคีรีบูนคือใคร   คุณปราจีน ทรงเผ่า,โปรดิวเซอร์ของอัลบั้มตลอดกาล ของวงคีรีบูนคือใคร,คุณปราจีน ทรงเผ่า
เท็กแบ็คเดอะไนท์เป็นเพลงที่บันทึกเสียงโดยนักร้องชาวอเมริกันชื่อว่าอะไร   จัสติน ทิมเบอร์เลก,เท็กแบ็คเดอะไนท์เป็นเพลงที่บันทึกเสียงโดยนักร้องชาวอเมริกันชื่อว่าอะไร,จัสติน ทิมเบอร์เลก
เท็กแบ็คเดอะไนท์ เพลงของ จัสติน ทิมเบอร์เลก ให้ดาวน์โหลดได้เมื่อไร   วันที่ 12 กรกฎาคม ค.ศ. 2013,เท็กแบ็คเดอะไนท์ เพลงของ จัสติน ทิมเบอร์เลก ให้ดาวน์โหลดได้เมื่อไร,วันที่ 12 กรกฎาคม ค.ศ. 2013
อัณณา หชาเร ได้รับเหรียญอิสริยาภรณ์จากรัฐบาลประเทศอะไร   รัฐบาลอินเดีย,อัณณา หชาเร ได้รับเหรียญอิสริยาภรณ์จากรัฐบาลประเทศอะไร,รัฐบาลอินเดีย
ทีมวอลเลย์บอลชายที่ได้เข้าแข่งในฐานะแชมป์โลกปี 2018 คือประเทศอะไร   โปแลน,ทีมวอลเลย์บอลชายที่ได้เข้าแข่งในฐานะแชมป์โลกปี 2018 คือประเทศอะไร,โปแลน
นายกรัฐมนตรีหญิงคนแรกของอิสราเอลคือใคร   โกลดา เมอีร์,นายกรัฐมนตรีหญิงคนแรกของอิสราเอลคือใคร,โกลดา เมอีร์
อางี้ หรือ วนิดา ตันติวิทยาพิทักษ์ จบชั้นมัธยมศึกษาจากโรงเรียนอะไร   โรงเรียนสตรีมหาพฤฒาราม,อางี้ หรือ วนิดา ตันติวิทยาพิทักษ์ จบชั้นมัธยมศึกษาจากโรงเรียนอะไร,โรงเรียนสตรีมหาพฤฒาราม
หลังจากหลบเข้าป่า วนิดา ตันติวิทยาพิทักษ์  กลับมาเรียนต่อกี่ปีจึงสำเร็จการศึกษา   3 ปี,หลังจากหลบเข้าป่า วนิดา ตันติวิทยาพิทักษ์  กลับมาเรียนต่อกี่ปีจึงสำเร็จการศึกษา,3 ปี
ปิยะมาศ โมนยะกุลได้แสดงภาพยนตร์เรื่องแรกในปี 2515 กำกับโดยวินิจ ภักดีวิจิตร มีชื่อเรื่องว่าอะไร   ขัง 8,ปิยะมาศ โมนยะกุลได้แสดงภาพยนตร์เรื่องแรกในปี 2515 กำกับโดยวินิจ ภักดีวิจิตร มีชื่อเรื่องว่าอะไร,ขัง 8
ลำไย ไหทองคำ นักร้องลูกทุ่งไทยมีชื่อจริงว่าอะไร   สุพรรณษา เวชกามา,ลำไย ไหทองคำ นักร้องลูกทุ่งไทยมีชื่อจริงว่าอะไร,สุพรรณษา เวชกามา
ลำไย ไหทองคำ นักร้องลูกทุ่งของไทยเกิดที่จังหวัดอะไร   จังหวัดร้อยเอ็ด,ลำไย ไหทองคำ นักร้องลูกทุ่งของไทยเกิดที่จังหวัดอะไร,จังหวัดร้อยเอ็ด
บ้านเกิดของเซอร์ปีเตอร์ โรเบิร์ต แจ็กสัน อยู่ที่เมืองใดในประเทศนิวซีแลนด์   เมือง North Island,บ้านเกิดของเซอร์ปีเตอร์ โรเบิร์ต แจ็กสัน อยู่ที่เมืองใดในประเทศนิวซีแลนด์,เมือง North Island
ภาพยนตร์เรื่อง The Lovely Bones ในปี 2009 กำกับโดยใคร   เซอร์ปีเตอร์ โรเบิร์ต แจ็กสัน,ภาพยนตร์เรื่อง The Lovely Bones ในปี 2009 กำกับโดยใคร,เซอร์ปีเตอร์ โรเบิร์ต แจ็กสัน
ทีมวอลเลย์บอลอาชีพของอินโดนีเซียที่ก่อตั้งในปี ค.ศ. 2002 ชื่อทีมว่าอะไร   ปาเลมบัง บัง ซุมเซล บาเบล,ทีมวอลเลย์บอลอาชีพของอินโดนีเซียที่ก่อตั้งในปี ค.ศ. 2002 ชื่อทีมว่าอะไร,ปาเลมบัง บัง ซุมเซล บาเบล
สนามเหย้าของทีมปาเลมบัง บัง ซุมเซล บาเบล มีชื่อสนามว่าอะไร   ปาเลมบังสปอร์ตฮอลล์,สนามเหย้าของทีมปาเลมบัง บัง ซุมเซล บาเบล มีชื่อสนามว่าอะไร,ปาเลมบังสปอร์ตฮอลล์
ประเทศอะไรเป็นเจ้าภาพจัดการแข่งขันฟุตบอลชิงแชมป์แห่งชาติยุโรป ครั้งที่ 7   ประเทศฝรั่งเศส,ประเทศอะไรเป็นเจ้าภาพจัดการแข่งขันฟุตบอลชิงแชมป์แห่งชาติยุโรป ครั้งที่ 7,ประเทศฝรั่งเศส
ช่วงเวลาใดที่เริ่มจัดการแข่งขันฟุตบอลชิงแชมป์แห่งชาติยุโรป 1984   วันที่ 12-27 มิถุนายน ค.ศ. 1984,ช่วงเวลาใดที่เริ่มจัดการแข่งขันฟุตบอลชิงแชมป์แห่งชาติยุโรป 1984,วันที่ 12-27 มิถุนายน ค.ศ. 1984
นิศาชล ต้วมสูงเนิน เกิดในจังหวัดอะไร   จังหวัด อุดรธานี,นิศาชล ต้วมสูงเนิน เกิดในจังหวัดอะไร,จังหวัด อุดรธานี
นิศาชล ต้วมสูงเนิน เป็นนักแสดงสังกัดช่องอะไร   สถานีโทรทัศน์ไทยทีวีสีช่อง 3,นิศาชล ต้วมสูงเนิน เป็นนักแสดงสังกัดช่องอะไร,สถานีโทรทัศน์ไทยทีวีสีช่อง 3
มะม่วงเป็นพืชไม้ยืนต้นอยู่ในสกุลอะไร   สกุล Mangifera,มะม่วงเป็นพืชไม้ยืนต้นอยู่ในสกุลอะไร,สกุล Mangifera
ที่ตั้งของอุทยานแห่งชาติสิรินาถ อยู่ในจังหวัดอะไร   จังหวัดภูเก็ต,ที่ตั้งของอุทยานแห่งชาติสิรินาถ อยู่ในจังหวัดอะไร,จังหวัดภูเก็ต
ไอเอ็นจีเป็นบริษัทในเนเธอร์แลนด์ที่ให้บริการเกี่ยวกับการเงิน มีสำนักงานใหญ่อยู่ที่เมืองใด   อัมสเตอร์ดัม,ไอเอ็นจีเป็นบริษัทในเนเธอร์แลนด์ที่ให้บริการเกี่ยวกับการเงิน มีสำนักงานใหญ่อยู่ที่เมืองใด,อัมสเตอร์ดัม
ในปี 2008 นิตยสารฟอร์บได้จัดอันดับให้บริษัทไอเอ็นจีมีขนาดใหญ่ติดอันดับที่เท่าไรของโลก   อันดับ 9 ของโลก,ในปี 2008 นิตยสารฟอร์บได้จัดอันดับให้บริษัทไอเอ็นจีมีขนาดใหญ่ติดอันดับที่เท่าไรของโลก,อันดับ 9 ของโลก
ท้าวสุนิมมิตเป็นจอมเทพของสวรรค์ที่มีชื่อว่าอะไร   นิมมานรดี,ท้าวสุนิมมิตเป็นจอมเทพของสวรรค์ที่มีชื่อว่าอะไร,นิมมานรดี
สวรรค์ที่อยู่ระหว่างชั้นดุสิตและชั้นปรนิมมิตวสวัตดี คือสวรรค์ชั้นอะไร   สวรรค์ชั้นนิมมานรดี,สวรรค์ที่อยู่ระหว่างชั้นดุสิตและชั้นปรนิมมิตวสวัตดี คือสวรรค์ชั้นอะไร,สวรรค์ชั้นนิมมานรดี
โยโกะ โอะโนะ ทำอาชีพอะไร   นักร้อง,โยโกะ โอะโนะ ทำอาชีพอะไร,นักร้อง
งแพ จิน-ย็อง เกิดเมื่อไร   19 กุมภาพันธ์ ค.ศ. 1993,งแพ จิน-ย็อง เกิดเมื่อไร,19 กุมภาพันธ์ ค.ศ. 1993
เพลง สเตย์วิธมี ประกอบละครเรื่อง ก็อบลิน คำสาปรักผู้พิทักษ์วิญญาณ  ใครเป็นผู้ขับร้อง   แพ จิน-ย็อง,เพลง สเตย์วิธมี ประกอบละครเรื่อง ก็อบลิน คำสาปรักผู้พิทักษ์วิญญาณ  ใครเป็นผู้ขับร้อง,แพ จิน-ย็อง
สะพานที่สร้างข้ามช่องแคบบอสฟอรัสตะวันออกมีชื่อสะพานว่าอะไร   สะพานรุสสกี,สะพานที่สร้างข้ามช่องแคบบอสฟอรัสตะวันออกมีชื่อสะพานว่าอะไร,สะพานรุสสกี
